Key,Id,Chinese (Simplified)(zh-Hans),English(en)
case.1001.tutorial.drag_item_101,0,"点击并拖拽高亮物品到发声槽中，看看它隐藏着什么。","Click and drag the highlighted item into the speaking slot to see what it reveals."
case.1001.name,0,"找到马克逃脱孤岛的方式。","Discover how Mark escaped the island."
case.1001.scene,0,"工作间","Workshop"
case.1001.story.01,0,"这里是一片孤岛，被终年低温的海水包围着，没有桥梁，唯一可以离开的途径武装巡逻渡船。“恶魔的监狱”，等待囚犯们的只有终身的监禁。　　然而就在昨天，监狱的警铃响了一整夜，我的狱友，马克，挖开通风管道越狱了，留在他床上的只有一个粗制滥造的仿真假人。","This place is an island surrounded by frigid waters year-round. There are no bridges; the only way off is the armed patrol ferry. The Devil’s Prison—all that awaits its inmates is a lifetime behind bars. Yet yesterday, the prison alarms rang all night. My cellmate, Mark, dug through the ventilation shaft and escaped, leaving nothing on his bed but a crude dummy."
case.1001.truth.01,0,"马克用马达改装钻头挖开通风管道，用打磨好的勺子磨制船桨，通过蒸汽江粘合橡胶雨衣做成筏子和救生衣，再以手风琴改装充气泵为筏子充气，最后乘船逃离。","Mark fitted a drill with the motor and broke through the ventilation shaft. He sharpened a spoon to shape an oar, used steam to bond rubber raincoats into a raft and life jacket, converted the accordion into a pump to inflate the raft, and finally sailed away."
case.1002.name,0,"找出警察死亡的真相。","Uncover the truth behind the police officer’s death."
case.1002.scene,0,"旅馆吧台","Inn Bar"
case.1002.story.01,0,"离开监狱以后，我们在一间旅馆落脚。我说""我们""，是指我和负责我的警察——一个过分古板的年轻人，相对于他的年龄而言。傍晚，小镇上逐渐被浓雾笼罩，旅馆仿佛成了另外一座孤岛。我在吧台待了许久，也不见那个小警察请我喝一杯，连店里屡屡向他献殷勤的女酒保也没有得到回应。就在我感到没趣准备休息时，窗外传来了一声惨叫——这个年轻的警察倒在地上，已经没有了心跳，四周只有我们自己的脚印。","After leaving the prison, we stopped at an inn. By “we,” I mean myself and the police officer assigned to me—a young man far too straitlaced for his age. By evening, thick fog had swallowed the town, turning the inn into yet another island. I lingered at the bar for ages, but the young officer never offered me a drink. He did not even respond to the barmaid’s repeated attempts to charm him. Just as boredom drove me toward bed, a scream came from outside. The young officer lay on the ground, his heart already still, with no footprints around him but our own."
case.1002.truth.01,0,"警察由于智齿发炎正在服用消炎药，女酒保将他的饮料换成了酒，导致警察中毒头晕离开酒馆，倒地身亡。由于浓雾和湿度，现场的脚印被掩盖了。","The officer was taking anti-inflammatory medicine for an infected wisdom tooth. The barmaid replaced his drink with alcohol, and the interaction poisoned him. Dizzy, he left the inn, collapsed, and died. The heavy fog and moisture concealed the footprints at the scene."
case.1003.name,0,"找出恶魔移动的真相。","Uncover the truth behind the moving demon."
case.1003.scene,0,"伯爵家的礼拜堂","Chapel at the Count’s Estate"
case.1003.story.01,0,"我成功破获案件的出色能力被一名恰巧被困此处的公爵欣赏，在浓雾散去后，她邀请我前往他的宅邸做客。尽管以我囚犯的身份不应该在没有警察时随意活动，为了更快寻找马克，战胜恶魔，我还是答应了他。不过事情果然没有那么简单，在我入住公爵府的当晚，深夜传来一声尖叫。公爵家的女儿声称看到画里的恶魔移动了。任务：找出恶魔移动的真相。","My success in solving the case caught the attention of a noblewoman who happened to be stranded there. Once the fog lifted, she invited me to stay at her estate. Though, as a prisoner, I should not be wandering around without a police escort, I accepted in hopes of finding Mark—and defeating the demon—sooner. Of course, things were not so simple. On my first night at the estate, a scream rang out in the dead of night. The noblewoman’s daughter claimed she had seen the demon in the painting move. Objective: uncover the truth behind the moving demon."
case.1003.truth.01,0,"伯爵一家决定卖掉这幅画，真心喜爱这幅画的鉴定师决定悄悄偷走它，并摆上赝品。在行动中为了防止被半夜下楼的伯爵小姐发现只得把画作挂在不属于它的地方，导致伯爵小姐以为画中是恶魔移动了。","The count’s family decided to sell the painting. The appraiser, who truly loved it, planned to steal it in secret and replace it with a forgery. When the count’s daughter came downstairs in the middle of the night, the appraiser had to hang the painting in the wrong place to avoid being discovered, making her think the demon inside it had moved."
case.1001.item.101.name,0,"吸尘器","Vacuum Cleaner"
case.1001.item.101.clue,0,"坏了的吸尘器，打开查看后发现马达消失了","A broken vacuum cleaner. Opening it reveals that the motor is missing."
case.1001.item.102.name,0,"蒸汽管道","Steam Pipe"
case.1001.item.102.clue,0,"附在上面的是，橡胶雨衣？完全被烤化了，好刺鼻的味道。","Is that a rubber raincoat stuck to it? It has melted completely. What a pungent smell."
case.1001.item.103.name,0,"铁栏窗","Barred Window"
case.1001.item.103.clue,0,"这里的海水终年低温，风浪极大，如果游泳的话会被毋庸置疑地冻死，不过每年都有这样的傻蛋。","The sea stays frigid all year, and the waves are vicious. Anyone who tries to swim will freeze to death without question, though every year some fool still tries."
case.1001.item.104.name,0,"手风琴","Accordion"
case.1001.item.104.clue,0,"音调不准的手风琴。哈，真怀念，说不定下一次的联欢会我要一个人上台表演了。","An accordion that is out of tune. Ha, how nostalgic. Perhaps I’ll give a solo performance at the next gathering."
